CountryID,Country,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016
148,Chad,-0.4,-9,-7.1,11.1,14.7,-3.5,-9.3,-2.3,-23,-7.9,-12.7,3,12.9,2.4,5,2.9,0.5,4.2,-1.4,0,0.5,-0.9,-4.8,2.3,-1.9,-1.3,2.1,3.3,-4,-4.1,7.4,4.4,10,28.8,4.1,-5,13.9,-2,5.6,9.7,2.8,8.8,-9,0.1,1.1,-6.4
152,Chile,6.9,-3,-7.2,-0.7,-14.3,1.9,8.2,6.6,6.7,6.3,4.6,-14.9,-4.3,4.2,0.3,3.9,4.8,5.5,8.7,2,6.2,10.5,5.4,4.1,9,5.9,5.2,1.9,-2,3.2,2.2,1,2.6,5.8,5,5.2,3.8,2.5,-2.5,4.8,5.1,4.4,3.1,1,1.4,0.8
156,China,4.4,1.4,5.4,0.2,6.7,-3.3,5.9,10.1,6.1,6.3,3.6,7.5,9.2,13.4,11.5,7,9.6,9.1,2.3,2.2,7.8,12.8,12.7,11.9,10,9,8.4,7.1,7,7.8,7.7,8.5,9.4,9.5,10.8,12.1,13.6,9.1,8.8,10,8.9,7.3,7.2,6.7,6.4,6.8
344,"China, Hong Kong SAR",5.5,8.9,10.5,0.5,-1.8,12.9,8.2,4.8,8.2,7.3,7,1.2,4.4,8.4,-0.7,9.3,11.5,6.7,0.7,2.4,4.4,5.1,5.1,4.8,1,2.6,3.2,-7.6,0.9,6.3,-0.3,1.1,2.7,8.4,7,6.5,5.9,1.5,-3.1,6.1,4.2,1.1,2.5,2.1,1.7,1.2
446,"China, Macao SAR",6.7,7.8,8.6,9,9.1,8.9,9,8.6,7.4,6.9,5.9,3,5.9,4.1,-3.4,2.3,9.6,3.6,1.2,4.5,0.8,10.6,2.9,2.2,1.2,-2.4,-2.3,-6.5,-4.4,3.4,0.5,6.3,8.9,23.7,5.6,10.8,12.1,1.3,-0.8,22.5,18.9,6.7,8.6,-3.4,-23.2,-2.7
170,Colombia,3.4,5.2,4.3,3.4,0.1,2.4,1.8,6,3,1.7,0,-1.3,-0.7,1.1,0.9,3.6,3.2,2,1.4,2.3,0.1,2.2,3.9,3.4,3.5,0.4,1.8,-0.9,-5.6,1.4,0.2,1.1,2.5,3.9,3.3,5.4,5.6,2.3,0.5,2.8,5.5,3,3.9,3.4,2.1,1.1
174,Comoros,2.2,0.2,5.1,0.6,3.6,-3,0.2,-0.8,5.6,3.8,0.7,3.3,2,1.3,-0.8,-0.9,-1.3,-0.3,-4.5,-2.1,-1.2,5.4,0.1,-7.9,0.8,-4,1.5,-1.5,-0.7,-0.2,-0.2,-0.1,-0.3,-0.5,0.4,0.3,-2,1.3,1.9,1.3,2.4,0.6,7,1,-2.5,-0.1
178,Congo,5.8,1,13.8,-3.8,-3.8,1.7,-10,3,8.1,9.4,17.7,20,2.6,4.2,-3.9,-9.4,-2.5,-1,-1,-1.7,-0.4,-0.1,-3.7,-8.1,1.1,3.4,-5.2,0.7,-5.3,4.6,1,1.8,-1.9,0.6,4.4,2.8,-4.9,2.3,4,5.4,0.5,1.1,0.7,4.2,0.1,-4.4
184,Cook Islands,-11,-11,5.2,2.8,0.9,-4.7,2.8,0.6,7.1,3.9,-3.2,3.1,0.2,14.4,7.9,7.5,-2.2,1.2,3.7,7.1,6.1,4.9,3,3.4,-4.3,0.5,-1.1,0.7,3.7,13.9,3,1.1,1.9,0.2,-2.1,5.1,0.7,-2,2.9,-1.3,2.6,6.2,-0.1,7.2,4.6,4.1
188,Costa Rica,4,5.5,5.1,3,-0.4,2.9,6.1,3.5,2.2,-1.9,-4.8,-9.8,0.1,5.2,-1.9,2.9,2.2,0.9,3.1,1,-0.3,6.5,4.4,1.9,1.6,-1.2,3.1,4.6,1.7,1.8,1.6,1.6,2.7,2.8,2.4,5.7,6.7,3.2,-2.3,3.6,3.1,3.6,1.1,2.5,3.6,3.3
384,C“te d'Ivoire,4.7,-0.5,1.1,-0.5,3.3,6.9,0,5,-2.6,-14.8,-0.9,-4,-7.9,-6.6,0.4,-0.6,-4,-2.5,8,-4.7,-3.4,-4,-3.8,-1.2,3.7,3.5,2.6,2.2,-0.7,-4.3,-2,-3.5,-3.1,-0.6,-0.2,-0.5,-0.3,0.4,1,-0.3,-6.5,7.4,6.6,6,6.4,6.1
191,Croatia,,,,,,,,,,,,,,,,,,,,,-20.8,-11.2,-7.3,6.8,7.8,6.8,7.6,2.8,-0.1,4.4,3.9,5.5,5.7,4.2,4.3,5,5.4,2.3,-7.1,-1.1,0,-1.9,-0.2,0.4,2.9,3.5
192,Cuba,6.7,3,1.7,-0.5,8,4.3,7.7,5.8,0.4,-5.4,19.1,8.5,5,7.4,0.9,-0.7,-3.4,2.6,-0.3,-3.8,-11.4,-12.2,-15.4,0.2,1.9,7.3,2.3,-0.3,5.8,5.5,2.9,1.1,3.5,5.6,11,11.9,7.2,4.1,1.4,2.3,2.6,2.8,2.5,0.8,4.2,-1
531,Cura‡ao,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.3,-0.3,-0.9,-3.4,-2.4,-1.4,-1.7,-2,-2.2,-0.7,-1.8
196,Cyprus,11.6,5.7,1.4,1.4,-16.1,19,15.9,7.2,9.1,4.8,1.8,5.1,4,7.4,3.5,2.6,5.9,7.1,6.5,5.5,-1.9,6.6,-1.7,3.6,7.9,-0.2,1.1,3.9,3.7,4.6,2.5,2.2,1.3,3.1,2.2,2.8,2.6,1.3,-4.4,-1.3,-2.2,-4.5,-5.7,-0.3,2.6,2.9
203,Czech Republic,,,,,,,,,,,,,,,,,,,,,-11.7,-0.6,0,2.9,6.2,4.4,-0.6,-0.2,1.6,4.5,3.2,1.8,3.7,4.9,6.2,6.5,4.9,2,-5.4,1.8,1.7,-1,-0.6,2.7,5.3,2.5
200,Czechoslovakia (Former),4.6,4.7,4,5.2,5.6,3,3.6,3.3,2.3,2.4,-0.5,-0.1,2.2,3.1,2.7,2.4,1.8,2.4,0.2,-1,,,,,,,,,,,,,,,,,,,,,,,,,,
408,D.P.R. of Korea,7.4,7.5,7.7,7.9,8.2,2.3,2.6,2.8,2.8,2.7,2.2,2.1,2.1,2.1,2.1,-0.1,0,-6.1,-3.1,-7,-7.4,-8.6,-6,-3.3,-5.3,-4.6,-7.5,-1.8,5.1,-0.5,2.9,0.5,1.2,1.4,3,-1.7,-1.8,2.5,-1.4,-1,0.3,0.8,0.5,0.5,-1.6,3.4
180,D.R. of the Congo,3.2,-2.5,5.3,0.4,-7.6,-7.9,-2.1,-8,-2.3,-0.5,-0.2,-2.9,-1,2.9,-2.1,2,-0.1,-2.4,-4.3,-9.7,-11.7,-13.9,-16.8,-7.3,-2.5,-3.7,-7.9,-3.8,-6.5,-9.2,-4.8,0,2.4,3.4,2.8,2,2.8,2.8,-0.5,3.6,3.4,3.6,4.9,5.9,3.4,-0.9
208,Denmark,2.4,3.3,3.5,-1.6,-1.9,5.5,1.6,2,3.7,-0.6,-0.7,3.7,2.7,4.2,4,4.9,0.2,-0.1,0.5,1.3,1.1,1.6,-0.4,4.9,2.6,2.5,2.8,1.8,2.5,3.4,0.5,0.2,0.1,2.4,2,3.5,0.4,-1,-5.4,1.4,0.8,-0.3,0.4,1.2,1.2,1.6
262,Djibouti,0.1,-2.3,-1.3,-10.4,1.8,-2,-21,-16.9,-3.5,-2,-1.5,-1,-1,-2.5,-4.8,-7.4,-6.9,-6.2,-8.6,2.1,-5.8,4.4,4.3,-3,4.3,-7.1,1.9,-3.1,-0.7,-1.2,-0.1,0.7,1.5,1.4,1.5,10.9,3.3,3.7,3.3,1.8,2.7,3,3.2,4.2,4.7,4.6
212,Dominica,6.6,7.4,8.5,6.4,2.7,6.1,1.5,10.6,-19.2,13.8,12,4.4,3.3,6.3,2.1,8,8.6,9.6,0.3,5.8,1.9,2.5,-0.6,1.2,2,3.8,3.1,3.8,1.2,1,0.3,-2.3,7.3,2.2,-0.7,4.3,5.7,7.6,-1.3,0.9,-0.2,-1.5,-1.1,3.9,-3.1,2.1
214,Dominican Republic,7.8,7.4,9.9,3.3,2.5,4.1,2.4,-0.3,2.1,5.5,1.9,-0.6,2.3,-0.9,-4.2,1.4,7.9,0.1,2.3,-6.9,-1.2,8.4,5.2,0.4,3.6,5.3,6.2,5.3,5,4,0.2,4.2,-1.8,-0.2,7.7,9.1,7,1.8,-0.4,6.9,1.8,1.5,3.5,6.3,5.8,5.4
218,Ecuador,3.3,2.1,10.8,8.2,8,4.5,-1.1,2.9,1.1,1.1,2.9,-1.9,-2.8,0.1,1.4,0.9,-2.7,3.3,-1.4,1.2,1.9,-0.2,-0.3,2,0.1,-0.4,2.2,1.2,-6.5,-0.7,2.2,2.4,1,6.4,3.6,2.7,0.5,4.6,-1.1,1.8,6.1,4,3.3,2.4,-1.3,-3.6
818,Egypt,1.1,1.6,-1.5,0.3,2.8,11.2,5.3,5.4,7.7,7.3,1.2,7.2,12.7,7.3,3.9,-0.8,4.9,2.4,3.1,3.2,2.9,4.4,0.8,1.9,2.6,3.1,3.5,2.1,4.2,3.5,1.6,1.2,1.2,2.2,2.6,5,5.2,5.3,2.8,3.1,-0.4,0,-0.2,0,4.1,2.2
222,El Salvador,2.2,2.9,2.5,3.9,3.2,1.7,3.8,4.3,-3.5,-10.3,-9.7,-7,-0.6,0.9,0.6,-0.7,1.4,0.3,-0.3,2,2.2,6.1,5.9,4.7,5.1,0.6,3.2,2.8,2.6,1.4,1,1.7,1.8,1.4,3.1,3.4,3.4,0.8,-3.6,0.9,1.8,1.4,1.4,0.9,1.8,1.8
